GO:0140657	GO:0005198	GO:0016779	GO:0016887	GO:0004386;GO:0140640	GO:0030234;GO:0098772	GO:0008092	GO:0051082	GO:0046872;GO:0043169	GO:0016829	GO:0019843	GO:0003735	GO:0008168;GO:0016741	GO:0016798	GO:0003700;GO:0140110	GO:0016772	GO:0030674;GO:0060090	GO:0022857;GO:0005215	GO:0017111;GO:0016462;GO:0016818;GO:0016817	GO:0004518	GO:0008289	GO:0008135;GO:0090079;GO:0045182	GO:0005515	GO:0016765	GO:0016874	GO:0003924	GO:0008565	GO:0003676;GO:0097159;GO:1901363	GO:0008233;GO:0140096	GO:0016301	GO:0016791;GO:0042578	GO:0051015;GO:0003779;GO:0044877	GO:0016491	GO:0016810	GO:0016740	GO:0016757	GO:0042393	GO:0032182	GO:0003729	GO:0016853	GO:0003677	GO:0016788	GO:0003723	GO:0008134	GO:0019899	GO:0016746
1.000	0.444	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.444	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000
1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.444	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.851	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.851	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.899	1.000	1.000	1.000	1.000	0.994	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.964	1.000	0.935	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.952	1.000	1.000	1.000	1.000	1.000	1.000	0.982	0.982	1.000	1.000	1.000	1.000	0.952	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.959	1.000	0.998	1.000	1.000	1.000	1.000	0.313	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.313	1.000	1.000	0.923	1.000	1.000
1.000	1.000	0.000	1.000	1.000	0.998	0.996	0.976	1.000	0.819	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	0.999	0.989	0.965	1.000	0.993	1.000	1.000	0.997	1.000	0.940	0.995	0.000	0.998	1.000	0.994	1.000	0.000	1.000	1.000	1.000	0.969	1.000	0.942	0.996	0.962	1.000	0.989	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.769	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.769	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.557	1.000	1.000	1.000	1.000	0.857	0.995	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.779	1.000	0.991	1.000	0.999	1.000	1.000	1.000	0.923	1.000	0.999	1.000	1.000	1.000	0.993	1.000	0.998	0.998	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986
0.621	0.958	0.992	0.000	0.628	0.941	0.982	1.000	1.000	0.995	1.000	1.000	1.000	1.000	1.000	0.999	1.000	0.779	0	0.994	1.000	0.911	0.984	1.000	0.986	0.000	1.000	0.930	0.997	1.000	1.000	1.000	0.997	1.000	0.997	0.998	0.800	1.000	1.000	0.990	0.946	0.999	0.990	1.000	1.000	1.000
1.000	1.000	1.000	0.994	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.989	1.000	1.000	0.994	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.563	1.000	0.989	1.000	1.000	0.994	1.000	0.966	0.977	1.000	1.000	1.000	1.000	0.862	0.000	0.701	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	0.994	0.956	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.959	0.965	1.000	0.991	1.000	1.000	0	1.000	0.944	1.000	1.000	1.000	1.000	0.959	1.000	0.965	1.000	1.000	1.000	1.000	0.965	1.000	1.000	0.938	1.000	1.000	0.959	1.000	1.000	1.000	0.991	1.000
0.982	1.000	1.000	0.982	0.982	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.911	1.000	1.000	0	1.000	1.000	0.982	0.929	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.812	1.000	1.000	1.000	0.893	1.000	1.000	1.000
1.000	0.864	1.000	0.969	1.000	0.941	0.000	0.000	0.286	1.000	1.000	1.000	1.000	1.000	0.998	0.993	0.769	0.999	0.984	1.000	0.944	1.000	0	1.000	1.000	1.000	0.923	0.986	0.989	0.993	0.981	0.000	1.000	1.000	0.988	1.000	0.000	0.000	1.000	1.000	0.992	0.986	0.986	0.000	0.000	0.993
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.973	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.982	1.000	1.000	0	1.000	1.000	0.861	1.000	1.000	1.000	1.000	0.993	0.970	0.986	0.986	1.000	1.000	1.000	1.000	0.979	1.000	0.889	1.000	1.000	1.000
1.000	0.958	0.992	1.000	1.000	0.924	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	1.000	1.000	0.000	1.000	1.000	0.929	1.000	1.000	1.000	0	1.000	0.986	1.000	1.000	1.000	1.000	0.997	1.000	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.997	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000
0.655	0.878	0.426	0.875	0.663	0.987	0.996	1.000	1.000	1.000	0.000	0.851	0.899	0.952	0.313	0.940	1.000	1.000	0.930	0.563	0.959	0.000	0.986	1.000	0.861	0.986	1.000	0	0.993	0.995	0.998	1.000	0.993	0.873	0.935	0.992	1.000	0.875	0.000	0.802	0.000	0.890	0.000	0.846	0.981	0.993
1.000	1.000	1.000	0.994	1.000	0.980	1.000	1.000	0.429	1.000	1.000	1.000	1.000	1.000	1.000	0.995	1.000	0.999	0.997	1.000	1.000	1.000	0.989	1.000	1.000	1.000	1.000	0.993	0	0.995	1.000	1.000	1.000	0.985	0.991	1.000	1.000	0.812	1.000	1.000	0.994	1.000	1.000	1.000	0.996	1.000
1.000	1.000	0.984	1.000	1.000	0.998	0.996	0.976	1.000	0.819	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0.989	0.965	1.000	0.993	1.000	1.000	1.000	1.000	0.995	0.995	0	1.000	1.000	0.994	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.996	0.997	0.998	1.000	0.989	1.000
1.000	1.000	0.992	1.000	1.000	1.000	0.985	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000	1.000	0.981	1.000	1.000	1.000	1.000	0.998	1.000	1.000	0	1.000	1.000	1.000	0.998	1.000	1.000	1.000	1.000	1.000	0.998	0.000	1.000	1.000	0.996	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.989	1.000	1.000	0.997	0.988	0.998	1.000	1.000	1.000	0.989	1.000	1.000	0.994	1.000	1.000	0.994	1.000	0.993	0.997	0.994	1.000	1.000	1.000	0.973	0.993	0.997	1.000	0.993	1.000	0.994	1.000	1.000	0	1.000	0.990	1.000	1.000	1.000	1.000	0.980	0.995	0.999	0.996	1.000	1.000	0.986
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.970	1.000	1.000	0.873	0.985	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.873	1.000	1.000	1.000
1.000	1.000	0.000	0.997	1.000	0.998	0.996	0.976	0.429	0.819	1.000	1.000	0.000	0.982	1.000	0.000	1.000	0.998	0.997	0.966	0.965	1.000	0.988	0.000	0.986	0.997	1.000	0.935	0.991	0.000	0.998	1.000	0.990	1.000	0	0.000	0.800	1.000	0.969	1.000	0.931	0.990	0.940	1.000	0.989	0.000
1.000	1.000	1.000	0.997	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.982	1.000	1.000	1.000	0.998	0.998	0.977	1.000	1.000	1.000	1.000	0.986	1.000	1.000	0.992	1.000	1.000	1.000	1.000	1.000	1.000	0.000	0	1.000	1.000	1.000	1.000	0.992	0.992	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.938	1.000	0.000	1.000	1.000	1.000	1.000	0.875	0.812	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.875	1.000	1.000	1.000
1.000	1.000	0.969	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.969	1.000	1.000	1.000	1.000	1.000	0.812	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	0.969	1.000	1.000	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000
1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.802	1.000	1.000	1.000	1.000	0.980	1.000	1.000	1.000	1.000	1.000	1.000	0	0.960	1.000	0.842	1.000	1.000	1.000
0.782	0.951	0.566	0.892	0.779	0.996	0.996	1.000	1.000	1.000	1.000	1.000	0.964	0.952	0.313	0.942	1.000	1.000	0.946	0.862	0.959	1.000	0.992	1.000	0.979	1.000	1.000	0.000	0.994	0.996	0.998	1.000	0.995	1.000	0.931	0.992	1.000	1.000	1.000	0.960	0	0.964	0.978	0.846	0.991	0.993
1.000	1.000	0.992	0.997	1.000	1.000	0.986	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.996	1.000	1.000	0.999	0.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	0.890	1.000	0.997	0.000	1.000	0.999	1.000	0.990	0.992	1.000	1.000	1.000	1.000	0.964	0	0.895	1.000	0.996	1.000
0.897	0.927	0.860	0.989	0.895	0.991	1.000	1.000	1.000	1.000	0.000	0.851	0.935	1.000	1.000	0.962	1.000	1.000	0.990	0.701	1.000	0.893	0.986	1.000	0.889	0.997	1.000	0.000	1.000	0.998	1.000	1.000	0.996	0.873	0.940	1.000	1.000	0.875	0.000	0.842	0.978	0.895	0	1.000	0.989	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.923	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.846	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.846	1.000	1.000	0	1.000	1.000
1.000	0.993	1.000	1.000	1.000	0.945	0.940	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.989	1.000	1.000	1.000	1.000	0.991	1.000	0.000	1.000	1.000	1.000	0.923	0.981	0.996	0.989	0.996	1.000	1.000	1.000	0.989	1.000	1.000	1.000	1.000	1.000	0.991	0.996	0.989	1.000	0	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.986	1.000	1.000	1.000	1.000	0.993	1.000	1.000	1.000	1.000	0.993	1.000	1.000	1.000	1.000	0.986	1.000	0.000	1.000	0.800	1.000	1.000	1.000	0.993	1.000	1.000	1.000	1.000	0
